Compounds;SMILES;measured MONs
1,2,4-Trimethyl-4-isopropenylcyclohexene;CC(=C)C1(C)CCC(=C(C)C1)C;76.2
2-Methyl-3-hexene (trans);CC/C=C/C(C)C;82
3,3-Dimethyl-1-butene;CC(C)(C)C=C;93.3
1,2,3,5-Tetramethylbenzene;Cc1cc(C)c(C)c(C)c1;102.4760345
2-hexene (trans);CCC\C=C/C;80.8
5-Methyl-2-hexene (trans);C/C=C/CC(C)C;81.05
propane;CCC;97.1
tetrahydropyran;C1CCOCC1;35.4
iso-butane;CC(C)C;97.6
1,4-Dimethylcyclohexane (cis);C[C@H]1CC[C@H](CC1)C;68.2
iso-Propylcyclohexane;CC(C)C1CCCCC1;61.1
sec-Butylbenzene;CCC(C)c1ccccc1;95.7
4-Octyne;CCCC#CCCC;65.9
2,2-Dimethylpentane;CCCC(C)(C)C;95.6
1-Ethylcyclopentene;CCC1=CCCC1;72
1-Methyl-3-ethylcyclopentane;CCC1CCC(C)C1;59.8
2,5-Dimethyl-1,5-hexadiene;CC(=C)CCC(C)=C;65.5
Cyclopentylcyclopentane;C1CCC(C1)C2CCCC2;9.7
4-Methyl-2-hexene (trans);CCC(C)/C=C/C;83
3-ethylpentane;CCC(CC)CC;69.3
3-Methylheptane;CCCCC(C)CC;35
Dicyclopentadiene;C1C=CC2C3CC(C=C3)C12;95.9
propene;CC=C;84.9
2-Methyl-1-butene;CCC(C)=C;81.9
1-butene;CCC=C;80.8
4-Methylheptane;CCCC(C)CCC;39
2,4,4-Trimethyl-2-pentene;CC(C)=CC(C)(C)C;86.2
3,5,5-Trimethylcyclohexene;CC1CC(C)(C)CC=C1;80.9
1-octene;CCCCCCC=C;34.7
1,3-Dimethylcyclohexane (cis);C[C@@H]1CCC[C@@H](C1)C;71
1,3-Dimethyl-5-ethylbenzene;CCc1cc(C)cc(C)c1;102.4760345
2,3,3-Trimethyl-1-pentene;CCC(C)(C)C(C)=C;85.7
Vinylcyclohexane;C=CC1CCCCC1;53.4
Ethylcycloheptane;CCC1CCCCCC1;30
6-Methyl-3-heptene (trans);CC/C=C/CC(C)C;82
β-pinene;CC1(C2CCC(=C)C1C2)C;60.3
1-Phenylpentane;CCCCCc1ccccc1;81.7
Cycloheptane;C1CCCCCC1;40.25
ethyl pentanoate;CCCCC(=O)OCC;92.35
Hydrindan (trans);C1CC[C@@H]2CCC[C@H]2C1;48.8
5-Methyl-1-hexene;CC(C)CCC=C;64
2,4-dimethylpentane;CC(C)CC(C)C;83.8
1-Ethylcyclohexene;CCC1=CCCCC1;70.5
Pent-1-ene;CCCC=C;77.1
